MALDIVES CUSTOMS SERVICE,,,,,
1513190000,"COCONUT (COPRA) OIL (EXCL.CRUDE) &ITS FRACTIONS,REFINED/NOT, NOT CHEMICALLY MODF",LTR,HONG KONG, 25.00 ," 64,669.50 "
1604140010,"TUNA (PREPARED, PRESERVED)",KGM,GERMANY," 84,240.00 "," 4,586,376.60 "
1604140010,"TUNA (PREPARED, PRESERVED)",KGM,GREAT BRITAIN," 83,268.00 "," 7,528,928.61 "
1604140010,"TUNA (PREPARED, PRESERVED)",KGM,NETHERLANDS," 35,983.20 "," 1,981,437.88 "
1604140010,"TUNA (PREPARED, PRESERVED)",KGM,UNITED STATES," 21,096.00 "," 1,122,808.23 "
1604140011,"SKIPJACK (PREPARED, PRESERVED)",KGM,ITALY," 342,720.00 "," 22,328,451.95 "
1604140011,"SKIPJACK (PREPARED, PRESERVED)",KGM,SWITZERLAND," 458,603.00 "," 40,977,975.85 "
1604140011,"SKIPJACK (PREPARED, PRESERVED)",KGM,FINLAND," 58,131.20 "," 4,872,367.32 "
1604140011,"SKIPJACK (PREPARED, PRESERVED)",KGM,GERMANY," 3,264,334.16 "," 241,264,045.43 "
1604140011,"SKIPJACK (PREPARED, PRESERVED)",KGM,SAUDI ARABIA, 35.52 ," 2,638.70 "
1604140011,"SKIPJACK (PREPARED, PRESERVED)",KGM,UNITED STATES," 413,027.20 "," 33,165,264.12 "
1604140011,"SKIPJACK (PREPARED, PRESERVED)",KGM,BELGIUM," 16,320.00 "," 916,002.50 "
1604140011,"SKIPJACK (PREPARED, PRESERVED)",KGM,GREAT BRITAIN," 2,977,067.04 "," 212,109,779.93 "
1604140011,"SKIPJACK (PREPARED, PRESERVED)",KGM,NETHERLANDS," 77,761.40 "," 5,223,099.00 "
1604140014,"YELLOWFIN TUNA (CANNED, PREPARED & PRESERVED)",KGM,GERMANY," 14,532.80 "," 1,164,336.58 "
1604140014,"YELLOWFIN TUNA (CANNED, PREPARED & PRESERVED)",KGM,SAUDI ARABIA, 24.00 ," 2,013.67 "
1604140014,"YELLOWFIN TUNA (CANNED, PREPARED & PRESERVED)",KGM,UNITED STATES," 604,232.80 "," 46,447,790.03 "
1604140014,"YELLOWFIN TUNA (CANNED, PREPARED & PRESERVED)",KGM,SRI LANKA, 177.60 ," 13,543.20 "
2006000099,"VEGETABLES, FRUIT, NUTS, FRUIT PEEL, NES (PRESERVED BY SUGAR)",KGM,BAHRAIN, 4.00 , 307.92 
2008110099,GROUND NUTS PREPARED OR PRESERVED,KGM,BAHRAIN, 2.00 , 153.96 
2301200000,"FLOURS, MEALS AND PELLETS OF FISH, ETC, UNFIT FOR HUMAN CONSUMPTION",KGM,BANGLADESH," 3,212,825.00 "," 32,866,056.65 "
2301200000,"FLOURS, MEALS AND PELLETS OF FISH, ETC, UNFIT FOR HUMAN CONSUMPTION",KGM,SRI LANKA," 1,250,925.00 "," 6,930,673.89 "
2301200000,"FLOURS, MEALS AND PELLETS OF FISH, ETC, UNFIT FOR HUMAN CONSUMPTION",KGM,SINGAPORE," 228,000.00 "," 2,925,050.00 "
2301200000,"FLOURS, MEALS AND PELLETS OF FISH, ETC, UNFIT FOR HUMAN CONSUMPTION",KGM,INDONESIA," 627,000.00 "," 8,113,180.02 "
2505900014,"NATURAL SAND (EXCL, RIVER SAND)",TNE,UNITED ARAB EMIRATES, 0.12 ," 3,817.34 "
2505900015,WHITE SAND,TNE,GERMANY, 0.03 , 4.62 
2710990000,"WASTE OIL, NES",TNE,INDIA, 609.20 ," 404,964.70 "
3915900000,"WASTE, PARINGS AND SCRAP, OF OTHER PLASTICS, NES",KGM,SRI LANKA," 20,690.50 "," 306,957.18 "
3915900000,"WASTE, PARINGS AND SCRAP, OF OTHER PLASTICS, NES",KGM,TAIWAN," 168,000.00 "," 440,728.58 "
3924100000,"TABLEWARE AND KITCHENWARE OF PLASTICS,NES",NMB,JAPAN, 312.00 ," 1,201.20 "
3924100000,"TABLEWARE AND KITCHENWARE OF PLASTICS,NES",NMB,KOREAN REPUBLIC OF, 200.00 , 769.75 
3924100000,"TABLEWARE AND KITCHENWARE OF PLASTICS,NES",NMB,THAILAND, 100.00 , 307.85 
3924100000,"TABLEWARE AND KITCHENWARE OF PLASTICS,NES",NMB,FRANCE, 50.00 , 192.50 
3924100000,"TABLEWARE AND KITCHENWARE OF PLASTICS,NES",NMB,ITALY, 200.00 , 769.62 
3924100000,"TABLEWARE AND KITCHENWARE OF PLASTICS,NES",NMB,GERMANY," 2,230.00 "," 8,189.92 "
3924100000,"TABLEWARE AND KITCHENWARE OF PLASTICS,NES",NMB,SWITZERLAND, 200.00 , 616.00 
3924100000,"TABLEWARE AND KITCHENWARE OF PLASTICS,NES",NMB,UNITED ARAB EMIRATES, 700.00 ," 2,694.30 "
3926100000,OFFICE OR SCHOOL SUPPLIES OF PLASTICS,NMB,JAPAN, 30.00 , 770.00 
3926100000,OFFICE OR SCHOOL SUPPLIES OF PLASTICS,NMB,FRANCE, 100.00 , 154.00 
3926909013,"ARTICLES OF PLASTIC,NES",KGM,TAIWAN," 62,000.00 "," 340,004.08 "
4016990011,RUBBER BAND,KGM,FRANCE," 1,000.00 "," 5,390.00 "
4016990011,RUBBER BAND,KGM,KOREAN REPUBLIC OF," 1,000.00 "," 5,388.25 "
4016990011,RUBBER BAND,KGM,TURKEY," 1,000.00 "," 1,540.00 "
4016990011,RUBBER BAND,KGM,SWITZERLAND, 7.50 ," 1,540.00 "
4016990011,RUBBER BAND,KGM,GERMANY," 5,018.00 "," 35,559.47 "
4016990011,RUBBER BAND,KGM,JAPAN, 0.80 ," 4,312.00 "
4016990011,RUBBER BAND,KGM,ITALY, 400.00 ," 2,154.95 "
4016990011,RUBBER BAND,KGM,UNITED ARAB EMIRATES, 8.00 ," 8,621.76 "
4202120000,"TRUNKS, SUIT-CASES..., ETC, WITH OUTER SURFACE OF PLASTIC OR TEXTILES",NMB,FRANCE," 2,200.00 "," 10,164.00 "
4202120000,"TRUNKS, SUIT-CASES..., ETC, WITH OUTER SURFACE OF PLASTIC OR TEXTILES",NMB,JAPAN," 2,580.00 "," 11,919.60 "
4202120000,"TRUNKS, SUIT-CASES..., ETC, WITH OUTER SURFACE OF PLASTIC OR TEXTILES",NMB,THAILAND, 200.00 , 615.71 
4202920000,"CASES AND CONTAINERS, NES, WITH OUTER SURFACE OF SHEETINGOF PLASTIC OR TEXTILES",NMB,ITALY," 1,000.00 "," 3,078.50 "
4202920000,"CASES AND CONTAINERS, NES, WITH OUTER SURFACE OF SHEETINGOF PLASTIC OR TEXTILES",NMB,JAPAN, 900.00 ," 2,772.00 "
4202920000,"CASES AND CONTAINERS, NES, WITH OUTER SURFACE OF SHEETINGOF PLASTIC OR TEXTILES",NMB,FRANCE, 850.00 ," 2,618.00 "
4202920000,"CASES AND CONTAINERS, NES, WITH OUTER SURFACE OF SHEETINGOF PLASTIC OR TEXTILES",NMB,KOREAN REPUBLIC OF, 800.00 ," 2,463.20 "
4202920000,"CASES AND CONTAINERS, NES, WITH OUTER SURFACE OF SHEETINGOF PLASTIC OR TEXTILES",NMB,SWITZERLAND," 2,100.00 "," 6,468.00 "
4202920000,"CASES AND CONTAINERS, NES, WITH OUTER SURFACE OF SHEETINGOF PLASTIC OR TEXTILES",NMB,THAILAND, 100.00 , 307.85 
4202920000,"CASES AND CONTAINERS, NES, WITH OUTER SURFACE OF SHEETINGOF PLASTIC OR TEXTILES",NMB,UNITED ARAB EMIRATES," 2,800.00 "," 8,621.76 "
4202920000,"CASES AND CONTAINERS, NES, WITH OUTER SURFACE OF SHEETINGOF PLASTIC OR TEXTILES",NMB,TURKEY," 1,500.00 "," 4,620.00 "
4202920000,"CASES AND CONTAINERS, NES, WITH OUTER SURFACE OF SHEETINGOF PLASTIC OR TEXTILES",NMB,GERMANY," 8,900.00 "," 27,401.65 "
4421990010,ARTICLES OF WOOD NES,NMB,SPAIN, 1.50 , 23.10 
4421990010,ARTICLES OF WOOD NES,NMB,THAILAND, 1.00 , 46.20 
4707300000,RECOVERED (WASTE/SCRAP) PAPER OR PAPERBOARD MADE MAINLY OF MECHANICAL PULP,KGM,INDIA," 220,000.00 "," 347,120.00 "
4817300011,PAPER BOX (NEW),NMB,ITALY, 10.00 , 38.48 
4817300011,PAPER BOX (NEW),NMB,SWITZERLAND, 10.00 , 38.50 
4817300011,PAPER BOX (NEW),NMB,THAILAND, 10.00 , 38.48 
4817300011,PAPER BOX (NEW),NMB,UNITED ARAB EMIRATES, 48.00 , 184.75 
4817300011,PAPER BOX (NEW),NMB,GERMANY, 92.00 , 346.37 
4817300011,PAPER BOX (NEW),NMB,JAPAN, 28.00 , 107.80 
4817300011,PAPER BOX (NEW),NMB,TURKEY, 20.00 , 77.00 
4817300011,PAPER BOX (NEW),NMB,FRANCE, 24.00 , 92.40 
4817300011,PAPER BOX (NEW),NMB,KOREAN REPUBLIC OF, 10.00 , 38.49 
4819100000,"CARTONS, BOXES AND CASES, OF CORRUGATED PAPER OR PAPERBOARD",NMB,FRANCE, 50.00 , 115.44 
4820100000,"REGISTERS, ACCOUNT BOOKS,ORDER AND RECEIPT BOOKS, NOTE BOOKS, LETTER PADS OF PAPER",NMB,GERMANY," 1,360.00 "," 4,187.04 "
4820100000,"REGISTERS, ACCOUNT BOOKS,ORDER AND RECEIPT BOOKS, NOTE BOOKS, LETTER PADS OF PAPER",NMB,KOREAN REPUBLIC OF, 200.00 , 615.80 
4820100000,"REGISTERS, ACCOUNT BOOKS,ORDER AND RECEIPT BOOKS, NOTE BOOKS, LETTER PADS OF PAPER",NMB,FRANCE, 60.00 , 184.80 
4820100000,"REGISTERS, ACCOUNT BOOKS,ORDER AND RECEIPT BOOKS, NOTE BOOKS, LETTER PADS OF PAPER",NMB,SWITZERLAND, 50.00 , 154.00 
4820100000,"REGISTERS, ACCOUNT BOOKS,ORDER AND RECEIPT BOOKS, NOTE BOOKS, LETTER PADS OF PAPER",NMB,ITALY, 20.00 , 61.57 
4820100000,"REGISTERS, ACCOUNT BOOKS,ORDER AND RECEIPT BOOKS, NOTE BOOKS, LETTER PADS OF PAPER",NMB,JAPAN, 50.00 , 154.00 
4820100000,"REGISTERS, ACCOUNT BOOKS,ORDER AND RECEIPT BOOKS, NOTE BOOKS, LETTER PADS OF PAPER",NMB,THAILAND, 100.00 , 307.85 
4820100000,"REGISTERS, ACCOUNT BOOKS,ORDER AND RECEIPT BOOKS, NOTE BOOKS, LETTER PADS OF PAPER",NMB,UNITED ARAB EMIRATES, 400.00 ," 1,231.68 "
4820300000,BINDERS (OTHER THAN BOOK COVERS) FOLDERS & FILE COVERS OF PAPER/PAPERBOARD,NMB,GERMANY, 500.00 ," 1,539.25 "
4823900012,"ARTICLES OF PAPER,NES",NMB,UNITED STATES," 1,755.00 "," 2,701.38 "
4823900012,"ARTICLES OF PAPER,NES",NMB,UNITED ARAB EMIRATES, 10.00 , 15.40 
4901100000,"PRINTED BOOKS, BROCHURES, LEAFLETS, ETC, IN SINGLE SHEETS",NMB,FRANCE," 1,700.00 "," 5,236.00 "
4901100000,"PRINTED BOOKS, BROCHURES, LEAFLETS, ETC, IN SINGLE SHEETS",NMB,TURKEY, 350.00 ," 1,078.00 "
4901100000,"PRINTED BOOKS, BROCHURES, LEAFLETS, ETC, IN SINGLE SHEETS",NMB,ITALY, 900.00 ," 2,770.65 "
4901100000,"PRINTED BOOKS, BROCHURES, LEAFLETS, ETC, IN SINGLE SHEETS",NMB,GERMANY," 9,400.00 "," 28,939.30 "
4901100000,"PRINTED BOOKS, BROCHURES, LEAFLETS, ETC, IN SINGLE SHEETS",NMB,UNITED ARAB EMIRATES," 1,800.00 "," 5,542.56 "
4901990099,"BROCHURES, LEAFLETS AND SIMILAR PRINTED MATTER, ( EXCL. SINGLE SHEETS)",NMB,UNITED ARAB EMIRATES, 200.00 , 615.84 
4901990099,"BROCHURES, LEAFLETS AND SIMILAR PRINTED MATTER, ( EXCL. SINGLE SHEETS)",NMB,SWITZERLAND," 1,200.00 "," 3,696.00 "
4901990099,"BROCHURES, LEAFLETS AND SIMILAR PRINTED MATTER, ( EXCL. SINGLE SHEETS)",NMB,JAPAN," 2,400.00 "," 7,392.00 "
4901990099,"BROCHURES, LEAFLETS AND SIMILAR PRINTED MATTER, ( EXCL. SINGLE SHEETS)",NMB,GERMANY, 325.00 ," 1,001.00 "
4901990099,"BROCHURES, LEAFLETS AND SIMILAR PRINTED MATTER, ( EXCL. SINGLE SHEETS)",NMB,KOREAN REPUBLIC OF, 630.00 ," 1,939.77 "
4905990011,MAP OF PAPER,NMB,ITALY, 100.00 , 307.85 
4905990011,MAP OF PAPER,NMB,SWITZERLAND, 70.00 , 215.60 
4905990011,MAP OF PAPER,NMB,UNITED ARAB EMIRATES, 500.00 ," 1,539.60 "
4905990011,MAP OF PAPER,NMB,FRANCE, 500.00 ," 1,540.00 "
4905990011,MAP OF PAPER,NMB,THAILAND, 100.00 , 307.85 
4905990011,MAP OF PAPER,NMB,JAPAN, 402.00 ," 1,238.16 "
4905990011,MAP OF PAPER,NMB,GERMANY," 1,200.00 "," 3,694.70 "
4905990011,MAP OF PAPER,NMB,KOREAN REPUBLIC OF, 100.00 , 307.90 
4909000013,CARD PRINTED NOT SPECIFIED,NMB,ITALY, 200.00 , 615.70 
4910000000,"CALENDARS OF ANY KIND, PRINTED, INCLUDING CALENDAR BLOCKS",NMB,GERMANY," 1,410.00 "," 4,341.20 "
4910000000,"CALENDARS OF ANY KIND, PRINTED, INCLUDING CALENDAR BLOCKS",NMB,SWITZERLAND, 100.00 , 308.00 
4910000000,"CALENDARS OF ANY KIND, PRINTED, INCLUDING CALENDAR BLOCKS",NMB,UNITED ARAB EMIRATES, 850.00 ," 2,617.32 "
4910000000,"CALENDARS OF ANY KIND, PRINTED, INCLUDING CALENDAR BLOCKS",NMB,TURKEY, 100.00 , 308.00 
4910000000,"CALENDARS OF ANY KIND, PRINTED, INCLUDING CALENDAR BLOCKS",NMB,ITALY, 500.00 ," 1,539.25 "
4910000000,"CALENDARS OF ANY KIND, PRINTED, INCLUDING CALENDAR BLOCKS",NMB,THAILAND, 100.00 , 307.85 
4911100000,"TRADE ADVERTISING MATERIAL, COMMERCIAL CATALOGUES AND THE LIKE",NMB,SINGAPORE," 1,000.00 "," 23,100.00 "
4911990000,"OTHER PRINTED MATTER, NES",NMB,GERMANY," 2,600.00 "," 8,005.35 "
4911990000,"OTHER PRINTED MATTER, NES",NMB,SWITZERLAND, 500.00 ," 1,540.00 "
4911990000,"OTHER PRINTED MATTER, NES",NMB,ITALY, 200.00 , 615.70 
4911990000,"OTHER PRINTED MATTER, NES",NMB,FRANCE, 100.00 , 308.00 
4911990000,"OTHER PRINTED MATTER, NES",NMB,KOREAN REPUBLIC OF, 200.00 , 615.80 
4911990000,"OTHER PRINTED MATTER, NES",NMB,UNITED ARAB EMIRATES, 500.00 ," 1,539.60 "
4911990000,"OTHER PRINTED MATTER, NES",NMB,THAILAND, 100.00 , 307.85 
6109900010,"T-SHIRT , KNITTED OR CROCHETED OF OTHER TEXTILE MATERIAL",NMB,GERMANY, 100.00 , 231.00 
6217100012,WRIST BAND (NOT KNITTED OR CROCHETED),NMB,THAILAND, 100.00 , 153.93 
6307100012,CLEANING CLOTHS (TEXTILE MATERIAL),KGM,FRANCE, 50.00 , 115.50 
6601991010,UMBRELLA,NMB,ITALY, 20.00 , 92.36 
6601991010,UMBRELLA,NMB,GERMANY, 20.00 , 92.36 
7009920000,FRAMED GLASS MIRRORS (EXCL. REAR-VIEW FOR VEHICLES),NMB,THAILAND, 1.00 , 77.00 
7204100000,WASTE AND SCRAP OF CAST IRON,KGM,INDIA," 6,375,000.00 "," 12,941,941.25 "
7204290000,WASTE AND SCRAP OF ALLOY STEEL (EXCL. STAINLESS),KGM,INDIA," 7,873,800.00 "," 16,276,631.61 "
7204290000,WASTE AND SCRAP OF ALLOY STEEL (EXCL. STAINLESS),KGM,MALAYSIA," 1,300,000.00 "," 1,730,425.06 "
7404000000,COPPER WASTE AND SCRAP,KGM,INDIA," 109,000.00 "," 7,484,507.00 "
7602000000,ALUMINIUM WASTE AND SCRAP,KGM,INDIA," 116,300.00 "," 1,694,566.12 "
8548100000,"WASTE/SCRAP OF PRIMARY CELLS/BATTERIES/ACCUM;SPENT PRIMARY CELLS,BATTERIES",TNE,INDIA, 425.00 ," 4,195,677.50 "
8903991010,LUXURY LAUNCH (OUTBOARD MOTOR) FOR TOURISM PURPOSE,NMB,SEYCHELLES, 1.00 ," 4,186,641.67 "
9404900010,CUSHION,NMB,THAILAND, 1.00 , 76.97 
9503000099,"TOYS, NES.",NMB,ITALY, 20.00 , 107.75 
9503000099,"TOYS, NES.",NMB,GERMANY, 100.00 , 461.78 
9503000099,"TOYS, NES.",NMB,FRANCE, 50.00 , 77.00 
9608100000,BALL-POINT PENS,NMB,UNITED ARAB EMIRATES," 4,000.00 "," 18,475.20 "
9608100000,BALL-POINT PENS,NMB,SWITZERLAND," 1,000.00 "," 1,540.00 "
9608991000,OTHER PEN AND PENCILS,NMB,ITALY, 400.00 ," 1,847.10 "
9608991000,OTHER PEN AND PENCILS,NMB,GERMANY," 6,200.00 "," 27,555.88 "
9608991000,OTHER PEN AND PENCILS,NMB,KOREAN REPUBLIC OF," 1,800.00 "," 8,313.30 "
9608991000,OTHER PEN AND PENCILS,NMB,TURKEY," 2,000.00 "," 3,080.00 "
9609100012,PENCIL,NMB,ITALY, 400.00 ," 1,847.10 "
9609100012,PENCIL,NMB,SWITZERLAND," 1,000.00 "," 4,620.00 "
9609100012,PENCIL,NMB,UNITED ARAB EMIRATES," 1,700.00 "," 7,851.96 "
9609100012,PENCIL,NMB,TURKEY," 1,500.00 "," 6,930.00 "
9609100012,PENCIL,NMB,GERMANY," 5,500.00 "," 24,630.25 "
,TOTAL,,,," 2,796,690,309.79 "
